material_id,formula,bl_mean,bl_min,bl_max,bl_std,coord_num,bandwidth_W,uw_ratio,distortion,frac_octahedral,n_tm_sites,total_magnetization,num_magnetic_sites,is_magnetic,formation_energy_per_atom,energy_above_hull,nsites,volume_per_atom,density,nelements,band_gap,efermi,is_mott,is_mott_uw
mp-brzqv,Li2Zr7Fe(PO4)12,2.0179994871701226,1.979453747979346,2.0658044994151066,0.0324637240580805,6.0,2.948999501630227,1.7972197001288484,0.0150904400912195,1.0,1,8.0020872,4,1,-3.003270014748298,0.023011337428579,70,14.615947089024122,2.999263535523903,5,0.0,-0.22724467,0,1
mp-bscaj,Na2FePCO7,2.0553092515510993,1.9500675867323896,2.1975303500818093,0.0748964044399375,6.0,2.8522370508185424,1.858230361362064,0.0329060877176397,1.0,4,20.0044387,4,1,-2.235184673325122,0.018091931458332,48,12.81728249425539,2.77252220463156,5,2.3822,3.02021254,0,1
mp-bscav,Na2FePCO7,2.0583566259331154,1.9725433672122388,2.1532676141999243,0.0768019109426127,6.0,2.844207031071708,1.863437572566241,0.0356628450582415,1.0,4,20.0036694,4,1,-2.239136748533456,0.014139856249999,48,12.799574526474146,2.776357936340521,5,2.4097,0.78016387,0,1
mp-bscjd,Li4NbFe(TeO6)2,2.0117924590482223,1.9389041348416212,2.1070833435408365,0.0440335590811086,6.0,2.9701543402619017,1.8050205125711485,0.0196880105917323,1.0,2,4.9999999,1,1,-2.087391199833332,0.0299203708125,20,10.14971376940767,5.102073923353736,5,1.8764,3.02007785,0,1
mp-bscsm,Li4FeTe2WO12,2.002248420770897,1.903996368280075,2.1233406256472485,0.0447833937174198,6.0,3.0016239072956052,1.494637626323112,0.0202815177170196,1.0,2,4.1475324,2,1,-1.9143475963333332,0.072323305500007,20,10.75413952230612,5.517366708251845,5,0.0,4.62301857,0,1
mp-bsdyj,Li4FeBi(TeO6)2,2.071865215851172,1.9785325771188425,2.1558258234811123,0.0656796543666251,6.0,2.80404853007332,1.890124205468518,0.0277048237225131,1.0,1,5.0015267,1,1,-1.7657390303333331,0.035517860749999,20,10.961667478165063,5.603332003649365,5,1.0224,3.2246703,0,1
mp-bsitq,LiFePCO7,2.0231391575343247,1.8944780541538968,2.270645866153295,0.1056426848685244,6.0,2.955321075583647,1.7934322393250188,0.0391866737354166,1.0,4,16.00389,7,1,-2.066319145270562,0.072566018011364,44,12.621587646270823,2.604551932428046,5,0.0,-0.2575845,0,1
mp-bsjnm,LiFePCO7,2.0229299811611017,1.8926469037816729,2.2529886910377397,0.1045153254130762,6.0,2.955506479936371,1.793311449783994,0.0390401688102296,1.0,6,23.9966672,9,1,-2.065623399512986,0.07326176376894,66,12.667451081021152,2.595121961327884,5,0.0,-0.29196262,0,1
mp-bwjkd,Li7Sc9Fe(SiO3)20,2.053810777505515,1.9723558034243776,2.160925588102403,0.0754386610041027,6.0,2.8562014420655,1.8556114151973937,0.0325359904490698,1.0,1,5.2756467,1,1,-3.227209948333334,0.043842991642609,97,11.807336141956206,2.944239764794848,5,0.0,1.51191429,0,1
mp-bwkvb,LiFeP3(H7O8)2,2.1766585972137844,2.085086179724412,2.2645305320053177,0.0630751062978173,6.0,2.5392968723123657,1.693424939437191,0.024738538379894,1.0,2,8.0000007,2,1,-1.766302527136054,0.037296407857149,70,9.45684543257738,2.136237044154001,5,3.932699999999999,0.44183467,0,1
mp-cpegg,Na2FeCu(CN)6,1.8980568814293304,1.8683902990922696,1.9234819910697232,0.0029991741060296,5.0,2.792183081638268,1.2565467663651055,0.0030199727538972,0.5,2,0.9991359,2,1,0.144475910452586,0.416753166484371,16,20.176488832249063,1.653600692277295,5,0.6184000000000001,-0.66847508,0,1
mp-critx,Sr6Y3Fe(Cu4O11)2,1.9514080387011723,1.8589698415541045,2.105415060527901,0.054259010311444,4.888888888888889,2.567900649195982,1.697534883285758,0.033673497931793,0.1111111111111111,9,3.9074456,3,1,-2.230036240999999,0.024153734853045,40,12.666288045325649,5.600020819386695,5,0.0,3.55596113,0,1
mp-crjaq,Sr2FeCu(PbO3)2,1.9480574826833712,1.8478215257027009,2.1942008189920914,0.0518933656362627,4.0,2.026431485549954,1.8394032320405904,0.0474890874203366,0.5,2,5.0114006,1,1,-1.9862944716666664,0.004735039583333,12,15.956362390949849,6.9814337724702895,5,0.4222,4.91525341,0,1
mp-crpyw,KSr2Nb4FeO15,2.001012097766216,1.862495178841508,2.1783827595767815,0.0871173489321564,6.0,3.0164592956916136,1.6550905496661066,0.0332736471572114,1.0,10,7.8051743,4,1,-2.768477517489131,0.09325496869564,46,13.712156489718462,4.642859124211583,5,0.0,1.20063122,0,1
mp-crijr,Sr3FeCo(ClO2)2,2.1077865919185963,2.04563044151199,2.662679277323999,0.1234097671624014,4.5,2.051973524902935,1.8822610824625128,,0.0,2,7.0017443,2,1,-2.4018587627272723,0.084687595681824,11,17.124315591539848,4.518273070472464,5,0.6061000000000001,3.89799046,0,1
mp-crjam,Sr2FeBiPbO6,2.053868718614098,1.9125219366011397,2.6472932692800235,0.2685933870933193,6.0,2.959854663497426,1.790628460701989,0.0963100424883945,1.0,1,4.8729856,1,1,-2.10671405,0.093781526193177,11,15.66092324013497,7.164417138973213,5,0.0,4.65247972,0,1
mp-csida,Sr2LiFeO3F,2.1431536210602697,2.030145361683053,2.5951781594800205,0.2260122692154009,5.0,2.2379998581162077,1.9213584774841943,,0.0,1,4.0084455,1,1,-2.299782371666667,0.428964911854166,8,14.29760493731678,4.428206254038909,5,0.0,4.38109499,0,1
mp-coygd,Na2FePCO7,2.051446772454657,2.0010943424711325,2.125377453028918,0.0400581569749478,6.0,2.854623967793583,1.8566368319595223,0.0161670463383104,1.0,2,10.003574,2,1,-2.253276604783455,0.0,24,13.055310251564848,2.7219728703191093,5,2.373199999999999,0.5689498,0,1
mp-cpanw,Li2FeBAsO7,2.0102236208741635,1.9449869542459033,2.061224249777964,0.040233589346634,6.0,2.9731437017235445,1.7826249020279668,0.0166195198311314,1.0,2,8.0000709,4,1,-2.025728766111111,0.095428422609124,24,12.500262853629115,2.960738675881732,5,0.2979,-0.0799481,0,1
